Regulator	Target	Weight
Stat1	Adam19	-1.0
Klf7	Akap8l	1.0
Stat1	Aw112010	1.0
Klf7	Bzrap1	1.0
Stat1	C3	-1.0
Stat1	Casp1	2.0
Stat1	Casp4	2.0
Stat1	Ccl3	1.0
Stat1	Ccl4	1.0
Stat1	Cdh17	1.0
Stat1	Chst2	1.0
Klf7	Crmp1	1.0
Stat1	Cysltr2	2.0
Klf7	Ddit3	1.0
Stat1	Ddit3	-1.0
Klf7	Dtx1	1.0
Stat1	Entpd1	2.0
Klf7	Epcam	1.0
Stat1	Erap1	1.0
Klf7	Eya2	1.0
Stat1	Gbp10	1.0
Stat1	Gbp2	1.0
Stat1	Gbp3	2.0
Stat1	Gbp5	1.0
Stat1	Gbp6	1.0
Stat1	Gemin4	1.0
Stat1	Glrx	2.0
Stat1	Gm12250	2.0
Klf7	Golga2	1.0
Stat1	Grap	-1.0
Stat1	Hao1	2.0
Klf7	Id3	1.0
Stat1	Ifi47	1.0
Stat1	Ifng	1.0
Stat1	Igtp	2.0
Stat1	Iigp1	2.0
Stat1	Il10	1.0
Stat1	Il13ra1	1.0
Stat1	Irgm1	1.0
Stat1	Irgm2	2.0
Klf7	Kdm4b	1.0
Klf7	Klf7	1.0
Stat1	Klf7	-1.0
Klf7	Klk8	1.0
Stat1	Klrk1	1.0
Stat1	Ly75	1.0
Stat1	Neat1	-1.0
Stat1	Neu3	1.0
Stat1	Oas3	1.0
Stat1	Parp14	1.0
Stat1	Parp9	1.0
Stat1	Pla2g16	1.0
Klf7	Ppp2r3a	1.0
Stat1	Ppp2r3a	-1.0
Stat1	Psmb10	1.0
Stat1	Ptpn14	2.0
Klf7	Rab4a	1.0
Stat1	Rad54l	1.0
Klf7	Rcn3	1.0
Stat1	Rpph1	-1.0
Stat1	Sell	1.0
Stat1	Selp	1.0
Stat1	Serpinb9	1.0
Stat1	Snhg1	-1.0
Klf7	Snrnp48	1.0
Stat1	Snx10	2.0
Stat1	Stat1	1.0
Stat1	Tgtp2	1.0
Stat1	Tnfrsf8	1.0
Stat1	Trim30a	1.0
Klf7	Tspan9	1.0
Stat1	Tspan9	-1.0
Klf7	Txnip	1.0
Stat1	Txnip	-1.0
Stat1	Usp18	2.0
Stat1	Wdfy1	-1.0
Stat1	Wdr77	1.0
Stat1	Zbp1	1.0
Irf1	Ccr5	2.0
Irf1	Chst2	1.0
Irf1	Epcam	-1.0
Irf1	Gbp2	1.0
Irf1	Gbp3	1.0
Irf1	Gbp6	2.0
Irf1	Glrx	2.0
Irf1	Ifi47	1.0
Irf1	Ifitm3	1.0
Irf1	Igtp	2.0
Irf1	Iigp1	2.0
Irf1	Il10	2.0
Irf1	Irgm1	1.0
Irf1	Irgm2	2.0
Irf1	Klf7	-2.0
Irf1	Klrd1	1.0
Irf1	Klrk1	2.0
Irf1	Ly75	2.0
Irf1	Neat1	-1.0
Irf1	Parp14	1.0
Irf1	Parp9	1.0
Irf1	Prf1	1.0
Irf1	Selp	2.0
Irf1	Sema4f	2.0
Irf1	Serpinb5	1.0
Irf1	Serpinb9	1.0
Irf1	Snx10	1.0
Irf1	Stat1	2.0
Irf1	Tgm2	1.0
Irf1	Tgtp2	2.0
Irf1	Usp18	1.0
Irf1	Zbp1	1.0
